Fournisseur,Code,Prix,Durée,Début,Fin,Catégorie,Zone,Camp Mina,Capacité,Places restantes (pas à jour),Date d'ajout,Nombre de guides, pélerins par guide,lien Nusuk
Rawaf Mina Company for Pilgrimage Services,RAWAF THE ADRESS 370,49367.55,13,2024-06-07,2024-06-20,Standard,None,Majar AlKabsh Camp,80,79,2024-02-27T13:33:06.2453767,1,80,https://hajj.nusuk.sa/sp/package/summary/603a0000-56b2-0050-c602-08dc3798a16a
Ithraa alkhair for pilgrims services,Ithraa Al Khair 58,49500.78,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,16,15,2024-02-16T21:00:25.864612,1,16,https://hajj.nusuk.sa/sp/package/summary/a4700000-56b2-0050-6863-08dc2f324c88
Ithraa alkhair for pilgrims services,Ithraa Al Khair 23,49607.68,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,368,361,2024-02-10T13:27:13.4702872,7,60,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-d107-08dc2a3bfe1f
Al Bait Guests for Pilgrims Services,D3100 Luxury Non Shifting Express,49950.37,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,141,138,2024-02-26T10:41:36.9169202,3,47,https://hajj.nusuk.sa/sp/package/summary/342b0000-56b2-0050-192f-08dc36b78216
Al Bait Guests for Pilgrims Services,D1100 Luxury Non Shifting Classic,49950.54,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,94,91,2024-02-18T12:17:53.0420652,3,46,https://hajj.nusuk.sa/sp/package/summary/bc950000-56b2-0050-d99a-08dc307ba19e
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,Hajj Jameel Dalah Taibah,49975.44,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,1000,990,2024-02-18T12:51:52.2037737,10,100,https://hajj.nusuk.sa/sp/package/summary/443a0000-56b2-0050-3bd7-08dc3080610e
SEERA GROUP HOLDING,MAW Elite DST 0002,50500.0,10,2024-06-10,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,200,196,2024-02-19T12:36:30.2156945,4,50,https://hajj.nusuk.sa/sp/package/summary/00260000-56b2-0050-c487-08dc314765eb
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,DS Hajj Jameel Crowne Plaza 1,51779.8,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,248,246,2024-02-22T10:34:57.3480918,2,125,https://hajj.nusuk.sa/sp/package/summary/2c810000-56b2-0050-bbd1-08dc3391ea45
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,HFC Hajj Jameel Anawr Movenpick,51974.28,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,400,396,2024-02-19T09:19:42.0120626,4,100,https://hajj.nusuk.sa/sp/package/summary/dc820000-56b2-0050-e216-08dc312be7ae
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,DS Hajj Jameel Crowne Plaza,51975.43,13,2024-06-10,2024-06-23,Luxury,Zone A,Majar AlKabsh Camp,248,246,2024-02-21T09:29:02.6480031,2,125,https://hajj.nusuk.sa/sp/package/summary/3c9f0000-56b2-0050-a389-08dc32bf8aac
Rawaf Mina Company for Pilgrimage Services,RAWAF SWISS AL MAQAM 101,52344.55,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,156,152,2024-02-21T11:53:48.7348541,4,46,https://hajj.nusuk.sa/sp/package/summary/68670000-56b2-0050-4f2f-08dc32d3c3fc
Ithraa alkhair for pilgrims services,Ithraa Al Khair 31,52691.63,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,32,31,2024-02-10T13:39:30.3987357,1,32,https://hajj.nusuk.sa/sp/package/summary/d4810000-56b2-0050-2c98-08dc2a3db55e
Al Bait Guests for Pilgrims Services,C1000 Luxury Non Shifting Classic,52950.54,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,265,258,2024-02-15T00:05:27.0396797,7,42,https://hajj.nusuk.sa/sp/package/summary/28940000-56b2-0050-cb6f-08dc2db9d085
Al Burj International Company,Al Burj Luxury DS Executive B Package,53777.24,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,298,291,2024-02-20T10:43:51.6419351,7,47,https://hajj.nusuk.sa/sp/package/summary/88980000-56b2-0050-010a-08dc3200d3e9
SEERA GROUP HOLDING,MAW Elite DST 0001,54490.0,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,98,96,2024-02-21T12:08:40.3847099,2,50,https://hajj.nusuk.sa/sp/package/summary/d4950000-56b2-0050-47a9-08dc32d5d773
Rawaf Mina Company for Pilgrimage Services,RAWAF THE ADRESS 102,54750.84,13,2024-06-07,2024-06-20,Luxury,None,Majar AlKabsh Camp,120,118,2024-02-27T13:28:15.4039224,2,60,https://hajj.nusuk.sa/sp/package/summary/cc240000-56b2-0050-e3ac-08dc3797f40f
Al Burj International Company,Al Burj Luxury DS Executive A Package,54948.96,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,146,142,2024-02-19T23:44:24.2191263,4,47,https://hajj.nusuk.sa/sp/package/summary/fc3a0000-56b2-0050-6b87-08dc31a4b3e3
Al Burj International Company,Al Burj Luxury DS Signature B Package,55952.11,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,98,95,2024-02-20T12:12:55.6498547,3,47,https://hajj.nusuk.sa/sp/package/summary/94650000-56b2-0050-e665-08dc320d452f
Al Burj International Company,Al Burj Luxury DS Signature A Package,58775.21,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,98,95,2024-02-20T11:37:32.2185192,3,47,https://hajj.nusuk.sa/sp/package/summary/788e0000-56b2-0050-fdcc-08dc32085385
